id,podjetje,ime_igre
17013,Ripknot Systems,Puzzle Monarch: Vampires
17014,Ripknot Systems,Puzzle Monarch: Zombie
17015,Multiverse Games,Puzzle Nebula
17016,Red13Indie,Puzzle Noid
17017,Shambles Software,Puzzle One
17018,"Grey Havens, LLC",Puzzle Pirates
17019,"Grey Havens, LLC",Puzzle Pirates: Dark Seas
17020,Windybeard,Puzzle Plunder
17021,Top Meadow,Puzzle Poker
17022,Cardboard Keep,Puzzle Puppers
17023,"Namco Networks America, Inc.",Puzzle Quest 2
17024,"D3Publisher of America, Inc.",Puzzle Quest: Galactrix
17025,Aric Morrow,Puzzle Sages
17026,Kingdom Games,Puzzle Showdown 4K
17027,冷笑黑妖,Puzzle Sisters Foer
17028,Sirlin Games,Puzzle Strike
17029,Robert Alvarez,Puzzle Tactics
17030,RhinoGearz,Puzzle Wishes
17031,Stromsky,Puzzle With Your Friends
17032,Boogygames Studios,Puzzle for Kids
17033,Rafal Grabos,Puzzle game for kids
17034,Studio Thug Life,Puzzle of Santa Girl VR
17035,Puzzle: Underwater World,Puzzle: Underwater World
17036,"D3Publisher of America, Inc.",PuzzleQuest: Challenge of the Warlords
17037,"D3Publisher of America, Inc.",PuzzleQuest: Challenge of the Warlords
17038,Yunus Ayyildiz,Puzzlement
17039,Monane,Puzzler
17040,Puzzler,Puzzler World
17041,Puzzler,Puzzler World 2
17042,EnsenaSoft,Puzzles At Mystery Manor
17043,Cubic Bit,Puzzles By Axis
17044,Cubic Bit,Puzzles By Axis Hyper
17045,EnsenaSoft,Puzzles Under The Hill
17046,Gunnar Games,Puzzles and Board Games Mega Collection
17047,Laush Studio,Puzzles for smart: Birds
17048,Laush Studio,Puzzles for smart: Cats
17049,Laush Studio,Puzzles for smart: Dogs
17050,Laush Studio,Puzzles for smart: Horses
17051,Laush Studio,Puzzles for smart: Underwater Kingdom
17052,Gordon Roberts,Puzzling Rooms VR
17053,QuantumSquid Interactive,Pylon: Rogue
17054,Codev Games,Pylow
17055,Impawsible Games,Pyramaze: The Game
17056,Travian Games GmbH,Pyramid Raid
17057,Notso Entertaining Productions,Pyramid VR
17058,Supergiant Games,Pyre
17059,Winged Cloud,Pyrite Heart
17060,Virtual Light VR,Pyro VR
17061,Candella Systems Ltd,Pyroblazer
17062,DLsite,Pythagoras' Perpetual Motion Machine
17063,Vladimir Maslov,Pythagoria
17064,Mindfield Games,P·O·L·L·E·N
17065,"Sideline Amusements, Gonzo Games",Q*bert: Rebooted
17066,Team Robot Black Hat,Q-YO Blaster
17067,Trapped Nerve Games,Q.U.B.E. 2
17068,Toxic Games,Q.U.B.E: Director's Cut
17069,uGen Inc.,Q.U.I.R.K.
17070,VT Publishing,QLORB
17071,VT Publishing,QLORB 2
17072,Fruitbat Factory,QP Shooting - Dangerous!!
17073,ATTACK MOUNTAIN,QUACK ATTACK 1985: TURBO DX EDITION
17074,id Software,QUAKE II
17075,id Software,QUAKE II Mission Pack: Ground Zero
17076,id Software,QUAKE II Mission Pack: The Reckoning
17077,id Software,QUAKE III: Team Arena
17078,id Software,QUAKE Mission Pack 1: Scourge of Armagon
17079,id Software,QUAKE Mission Pack 2: Dissolution of Eternity
17080,"Degica, MASAYA GAMES",QUALIA 3: Multi Agent
17081,Rock Path Collective,QUBIC
17082,Strategy First,Qajary Cat
17083,Qantas,Qantas VR
17084,Zueira Digital,Qasir al-Wasat: International Edition
17085,Rezoner,QbQbQb
17086,Digital Tribe,Qbeh-1: The Atlas Cube
17087,Forever Entertainment S. A.,Qbik
17088,GexagonVR,Qbike: Crypto Motorcycles
17089,GexagonVR,Qbike: Cyberpunk Motorcycles
17090,QIPAWORLD,Qipa World-Hello Big Adventure
17091,Curve Digital,Qora
17092,Betamaximus-128,Qu-tros
17093,Bitlock Studio,Quad Hopping
17094,Mental Lab Studio,Quaddro 2
17095,Clickteam,Quadle
17096,YounGen Tech,Quadrablaze
17097,VRS,Quadrant M4
17098,Blendo Games,Quadrilateral Cowboy
17099,Bethesda Softworks,Quake Champions
17100,id Software,Quake III Arena
17101,Bethesda Softworks,Quake IV
17102,Bethesda Softworks,Quake Live
17103,Chrnk.ru,Quanect
17104,Laserboys3000,Quanero VR
17105,Plug In Digital,Quantic Pinball
17106,Abstractron,Quantized
17107,Microsoft Studios,Quantum Break
17108,Quantum Realm Games,Quantum Chess
17109,Woodsy Studio,Quantum Conscience
17110,Square Enix,Quantum Conundrum
17111,Quantum Engine,Quantum Engine
17112,NickySwan,Quantum Flux
17113,"FAT BOMB STUDIOS, LLC",Quantum Lock
17114,Quantum Productions,Quantum Pilot
17115,1C Entertainment,Quantum Replica
17116,Paradox Bag,Quantum Retribution
17117,GameArt Studio GmbH,Quantum Rush Champions
17118,Bad Gravity,Quantum Wizard
17119,Gamerizon,Quantz
17120,HTC,Quar: Battle for Gate 18
17121,505 Games,Quarantine
17122,Bithell Games,Quarantine Circular
17123,Surprise Attack,Quarries of Scred
17124,River Studios,Quarterback SNAP
17125,Asmodee Digital,QuartoⒸ
17126,Jardel Elias,Quatro Luzes
17127,God As A Cucumber,Quatros Origins
17128,Minddesk Software GmbH,Qubicle Voxel Editor
17129,OraMonkey,Qubika
17130,Aqualuft Games,Queen At Arms
17131,Winter Wolves,Queen Of Thieves
17132,BIOSZARD Dev,Queen of Seas
17133,BIOSZARD Dev,Queen of Seas 2
17134,Atriagames,Queen of Spades
17135,Seven Sails Games,Queen's Garden: Halloween
17136,Artifex Mundi,Queen's Quest 2: Stories of Forgotten Past
17137,Artifex Mundi,Queen's Quest 3: The End of Dawn
17138,Artifex Mundi,Queen's Quest 4: Sacred Truce
17139,Artifex Mundi,Queen's Quest: Tower of Darkness
17140,Big Fish Games,Queen's Tales: Sins of the Past Collector's Edition
17141,Big Fish Games,Queen's Tales: The Beast and the Nightingale Collector's Edition
17142,EP Games®,Queendoom
17143,Green Man Gaming Publishing,Quell
17144,Rubycone,Quell 4D
17145,Green Man Gaming Publishing,Quell Memento
17146,Green Man Gaming Publishing,Quell Reflect
17147,Fallen Tree Games Ltd,Quell Zen
17148,Zadbox Entertainment,Quern - Undying Thoughts
17149,Phoenix Online Publishing,Quest for Infamy
17150,David Amador,Quest of Dungeons
17151,FirstSeed,Quest of Vidhuraa
17152,BURRIK,Quest room: Hanon
17153,Fivang,QuestEvent
17154,Digerati,QuestRun
17155,Buka Entertainment,Questerium: Sinister Trinity HD Collector's Edition
17156,Stequer,Questery
17157,Spritewrench,Questlike
17158,Mutant Entertainment Studios,Questr
17159,AltImage Games,Questria: Rise of the Robot Skullfaces
17160,Oxrock Studio,Quests Unlimited
17161,"Alvios, Inc.",QuiVr
17162,"Alvios, Inc.",QuiVr Vanguard
17163,Hertzole,Quible Sphere
17164,Playing With Matches,Quick Draw
17165,Star Legion,Quick Maths: addition and subtraction
17166,Droid Riot,Quick Slick Deadly
17167,Individual Software,Quicken Legal Business Pro
17168,Individual Software,Quicken WillMaker Plus 2016
17169,Individual Software,Quicken WillMaker Plus 2017
17170,Individual Software,Quicken WillMaker Plus 2018
17171,Individual Software,Quicken WillMaker Plus 2019 and Living Trust
17172,Headroom.one,Quickshot
17173,Distant Lantern Studios Ltd,Quiet as a Stone
17174,Carmine T. Guida,Quintet
17175,mentics,Quip Anomaly
17176,"Jackbox Games, Inc.",Quiplash
17177,Ludo Land,Quirky Crook
17178,Crankage Games,Quiver Dick's Terrible Tale For Terrible Parents To Read To Their Equally Terrible Children
17179,Senerio,Quixer
17180,VT Publishing,Quixzel Rush Halloween Party
17181,VT Publishing,Quixzel Rush Pumpkin Bash
17182,VT Publishing,Quixzel Rush: Christmas Helper
17183,VT Publishing,Quixzel Rush: Tooth Protector
17184,Mardonpol Inc.,Quiz Night Tonight!
17185,Yash Future Tech Solutions Pvt Ltd,Quiz Time
17186,UV Games Ltd,Quizality
17187,Vindit,Quote
17188,NedoStudio,Qvabllock
17189,Slitherine Ltd.,Qvadriga
17190,Qrakhen,Qybe
17191,R Academy,R Academy
17192,Vector Hat,R-COIL
17193,"Tozai Games, Inc.",R-Type Dimensions EX
17194,Cristian Villalba,R.A.F.A.
17195,I.E.D. Studios,R.A.T.S. (Regulatory Astro-Topographical Stabilizer)
17196,Focus Home Interactive,R.A.W. Realms of Ancient War
17197,MLB.com,R.B.I. Baseball 15
17198,MLB.com,R.B.I. Baseball 16
17199,Blue Budgie Studios,R.C. Bot Inc.
17200,reMaginarium,R.O.O.T.S
17201,SoerGame,R.O.V.E.R.
17202,SimBin,RACE - The WTCC Game
17203,SimBin,RACE 07
17204,"RaceRoom Entertainment AG, SimBin",RACE Injection
17205,SimBin,RACE On
17206,SimBin,RACE: Caterham Expansion
17207,DL Softworks,RADical ROACH Remastered
17208,Bethesda Softworks,RAGE
17209,Starbreeze Publishing AB,RAID: World War II
17210,Kirisame Jump,RAIN Project - a touhou fangame
17211,pointfiveteam,RAM BOE
17212,AFY Games,RAMS
17213,Red twice potato,RANDOM rooms
17214,Hazier Studio,RAW FOOTAGE
17215,Sokay,RAYBEEM - Live in Your Music
17216,Chun Y.,RAYGUN COMMANDO VR
17217,Team.WM,RAZ
17218,PQube Limited,RAZED
17219,Agger Interactive,RC Fun City
17220,Decane,RC Mini Racers
17221,FrozenPepper S.R.L.,RC Plane 3
17222,magnussoft,RC Racing Off Road 2.0
17223,devotid Media,RC Simulation 2.0
17224,Fabricated Reality Software,RC-AirSim - RC Model Airplane Flight Simulator
17225,games.Sharbit,RCRacer VR
17226,Grey Reality Studios,REALITY
17227,LozMarblz Inc.,RECOG The First Wave
17228,AHui.Game,RECOIL
17229,rondomedia GmbH,RECYCLE
17230,Ｌｅｍｏｎ　Ｂａｌｍ,RED
17231,Egidijus Bachur,RED CUBE VR
17232,Meteor Shock,RED Fuse: Rolling Explosive Device
17233,Bolder Games,RED: Lucid Nightmare
17234,Hexage,REDCON
17235,IronEqual,REPULSE: Galactic Rivals
17236,astragon Sales & Services GmbH,RESCUE 2: Everyday Heroes
17237,Based On The Play,RESEQUENCED
17238,"CAPCOM Co., Ltd.",RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil
17239,tri-Ace,RESONANCE OF FATE/END OF ETERNITY 4K/HD EDITION
17240,"VRNI Ltd, Kainos",RETNE
17241,Zero Rock Entertainment,RETSNOM
17242,Vyacheslav Shilikhin,REVENGE: First Blood
17243,evlavv_studio,REVENGER: Age of Morons
17244,REEW GAMES,REVERSE SIDE
17245,rakusomoku,REVIVAL RESET
17246,juhbee,REVOLT 1917
17247,AGM PLAYISM,REVOLVER360 RE:ACTOR
17248,System Void Games,RFLEX
17249,Pickle Drugs,RGB RUN
17250,SC.Wu,RGBCELLS
17251,Kyvos Studios,RGBverse
17252,River,RHCs StretchingVr
17253,Runesoft GmbH,RHEM I SE: The Mysterious Land
17254,Runesoft GmbH,RHEM II SE: The Cave
17255,Runesoft GmbH,RHEM IV: The Golden Fragments SE
17256,万族游戏,RICHCODE富豪密码
17257,Milestone S.r.l.,RIDE
17258,Milestone S.r.l.,RIDE 3
17259,Imex Media Inc,RIFF VR for Arcades
17260,Trion Worlds,RIFT
17261,NA,RIP - Trilogy
17262,Electronic Arts,RISK: Factions
17263,Two Tribes Publishing,"RIVE: Wreck, Hack, Die, Retry!"
17264,Nekyau,RKN - Roskomnadzor Banned Internet
17265,Владислав Витальевич Максутов,ROAD HOMEWARD
17266,Atriagames,ROAD OF DANGER
17267,"G-STYLE Co,. Ltd.",ROBUST ROAD ROLLER
17268,Ragnar,ROCK
17269,Radial Games Corp,ROCKETSROCKETSROCKETS
17270,Hostel Games,ROD: Revolt Of Defense
17271,NuevoSpanish,ROGALIK
17272,Happy Snake Games,ROGO
17273,IronDrop Studios,ROGUS - Kingdom of The Lost Souls
17274,Darewise Entertainment,ROKH
17275,SAARSE,ROLL!
17276,First Contact Entertainment,ROM: Extraction
17277,"KOEI TECMO GAMES CO., LTD.",ROMANCE OF THE THREE KINGDOMS XIII / 三國志13
17278,Phr00t's Software,ROMBIE
17279,Black Lime Studio,ROMBY
17280,StudioBento,RONE
17281,Devolver Digital,RONIN
17282,HandMade Game,ROOMS: The Toymaker's Mansion
17283,Digital Tribe,ROOT
17284,AFBIK Studio,ROS
17285,Gravity Interactive,ROSE Online
17286,DarkShot Studios,ROTii
17287,Marxnet,RPG MO
17288,Degica,RPG Maker 2000
17289,Degica,RPG Maker 2003
17290,Degica,RPG Maker MV
17291,Degica,RPG Maker VX Ace
17292,Degica,RPG Maker XP
17293,Skyward Digital,RPG Merchant
17294,GSProductions Ltd.,RPG Tycoon
17295,RaveyLarge,RPG World - Action RPG Maker
17296,RPGGAME.,RPGGAME
17297,Chorus Worldwide Games Limited,RPGolf
17298,Thugnificent,RPS Runner
17299,Dnovel,RRRR
17300,Eisenstadt Studio,RTAG rise
17301,JTS Development,RTS Commander: Smash the Rebels
17302,"Infotread, LLC",RTS Creator
17303,Bigben Interactive,RUGBY 18
17304,Devolver Digital,RUINER
17305,Dedication Labs,RUMP! - It's a Jump and Rump!
17306,POPSAUR,RUN
17307,IDALGAME,RUN ROOMS
17308,Osumia Games,RUNNING WITH RIFLES
17309,Flying Interactive,RUNRUNRUN
17310,Two Tribes Publishing,RUSH
17311,The Binary Mill,RUSH
17312,Xbox Game Studios,RUSH: A Disney • PIXAR Adventure
17313,Agafonoff,RUSSIA BATTLEGROUNDS
17314,Rooster Teeth Games,RWBY: Grimm Eclipse
17315,YFYX games,RX squad
17316,Buce Studios LLC,RXE
17317,Trazzy Entertainment,RYAN BLACK
17318,FLEB,RYB
17319,Nekyau,RaKoval~Nya: Escape Edition
17320,cada,Rabbit BoBo
17321,Zero Rock Entertainment,Rabbit Hole 3D: Steam Edition
17322,Serhii Vitukhin,Rabbit Island
17323,Viacheslav Bushuev,Rabbit Story
17324,"Bamboo Secrets Co.,Limited",Rabbit Valley Legend (兔子山谷传说)
17325,Silver Boar Gaming,Rabbit and the moon
17326,SergioPoverony,Rabbit of Destiny
17327,Boogygames Studios,Rabbit: Jigsaw Puzzles
17328,Sekai Project,Rabi-Ribi
17329,New Reality Games,Rabiez: Epidemic
17330,RewindApp,Race
17331,IceTorch Interactive,Race & Destroy
17332,Iceflake Studios,Race Arcade
17333,Flippfly LLC,Race The Sun
17334,ONE MORE LEVEL,Race To Mars
17335,Brendon Pywell,Race Track Builder
17336,Temple Gates Games,Race for the Galaxy
17337,Headup,Race.a.bit
17338,"Sector3 Studios, RaceRoom Entertainment AG",RaceRoom Racing Experience
17339,KasSanity,Racecar.io
17340,Sandbox Games,Racecraft
17341,Leblebi Tozu Games,Raceland
17342,KISS ltd,Racer 8
17343,Charles Cochrane,RacetronicVR
17344,Mystik'art,Racing Glider
17345,LifeSpark Entertainment,Rack N Ruin
17346,Pixel Edge Games,Racket Fury: Table Tennis VR
17347,One Hamsa,Racket: Nx
17348,"HandyGames, 3D Realms",Rad Rodgers - Radical Edition
17349,"HandyGames, 3D Realms",Rad Rodgers: World One
17350,Adage Games,Radar Defense
17351,DreamRoad Productions,Radar Warfare
17352,Devin Sherry,Radial Impact
17353,Tammeka Games,Radial-G : Racing Revolved
17354,Grand Unified LLC,RadianVR
17355,Radiance Games,Radiant Crusade
17356,Hexage,Radiant Defense
17357,TopazShrine,Radiant Melodia
17358,Fntastic,Radiant One
17359,Atypical Games,Radiation Island
17360,Robert Yang,Radiator 2: Anniversary Edition
17361,Benjamin Soulé,Radical Dungeon Sweeper
17362,Boss Key Productions,Radical Heights
17363,Apogee Software,Radical Heroes: Crimson City Crisis
17364,New Reality Games,Radical Spectrum: Volume 1
17365,New Reality Games,Radical Spectrum: Volume 2
17366,Urban Goose Games,Radiis
17367,Riviysky,Radioactive Puzzle
17368,Develobster,Radium
17369,Develobster,Radium 2
17370,Community Volunteers,Radline: Quarantine
17371,Rivstyx Games Studio L.L.C.,Raffle Blast
17372,Axolot Games,Raft
17373,Mark Healey,Rag Doll Kung Fu
17374,Samuel Manier,Ragdoll Runners
17375,"Plug In Digital, Fun4Family",Rage Against The Zombies
17376,Alexander Kov,Rage Pig
17377,Nicholas Fisher,Rage Quest
17378,Kyle Hughart,Rage Quest: The Worst Game
17379,Lockem Reality Inc,Rage Room
17380,Plug In Digital,Rage Runner
17381,Lemondo Games,Rage Wars
17382,"Toge Productions, Another Indie",Rage in Peace
17383,Versus Publishing,Rage of the Pumpkins - Space Prostitutes Must Die! Again
17384,Hebi Studios,RageBall
17385,Team17 Digital Ltd,Raging Justice
17386,Mad Vulture Games,Raging Titan
17387,Peter Junior Leonar,Ragna Maya
17388,Gravity Interactive,Ragnarok Clicker
17389,Gravity Interactive,Ragnarok Journey
17390,Gravity Interactive,Ragnarok Online 2
17391,Gravity Interactive,Ragnarok RE:START
17392,Prime Time Studio,Ragtag Adventurers
17393,Outlaw Wars,Raid On Coasts
17394,"H2 Interactive Co., Ltd.",Raiden III Digital Edition
17395,"H2 Interactive Co., Ltd.",Raiden IV: OverKill
17396,DotEmu,Raiden Legacy - Steam Edition
17397,UFO Interactive Games,Raiden V: Director's Cut | 雷電 V Director's Cut | 雷電V:導演剪輯版
17398,Sekai Project,RaidersSphere4th
17399,exosyphen studios,Rail Adventures - VR Tech Demo
17400,United Independent Entertainment GmbH,Rail Cargo Simulator
17401,"Triggered Studios, NHTV Breda University of Applied Sciences",Rail Recon
17402,upjers,Rail World
17403,socah,Railroad Tracks
17404,Koch Media,Railroad X
17405,Kalypso Media Digital,Railway Empire
17406,Origo Games,Rain Blood Chronicles: Mirage
17407,Adult Swim Games,Rain World
17408,EGCL,Rain of Pumpkins
17409,RainySoft,RainWidget
17410,Death Hill Games,Rainbow Cult
17411,Rainbow Duck,Rainbow Duck
17412,Bigger Boat,Rainbow Hero
17413,Gamepadable,Rainbow Rage Squad
17414,RandomSpin,Rainbow Snake
17415,AMG GAMES,Rainbow Step
17416,Black Shell Media,Raining Blobs
17417,Crazysoft Limited,Raining Coins
17418,OrtiGames/OrtiSoft,Raining blocks
17419,illegaldogs,Rainy Day Racer
17420,Kerkko Rasilainen,Rainyday
17421,CoaguCo Industries,Raise Your Own Clone
17422,Konsordo,Rake
17423,Laura Shigihara,Rakuen
17424,Games By Cane,Ralf
17425,Depth First Games,Rally Copters
17426,West Coast Games Ltd,Rally Racers
17427,Rakesh Malik,Ramayana
17428,Reef Entertainment,Rambo The Video Game: Baker Team
17429,"Happy Home Company, Happy Home Company",Ramen
17430,Create Something Interesting,Ramify
17431,Rake in Grass,Rampage Knights
17432,Glitch Studio,Rampage Online
17433,ijal Studio,Rampage Ragdoll
17434,Boltok Games,Rampage of the Dead
17435,Sublemonal,Rand-O-mazE
17436,Daedalic Entertainment,Randal's Monday
17437,We The Force Studios,Randall
17438,Team Murder,Random Access Murder
17439,Riviysky,Random Journey
17440,Atriagames,Randomizator
17441,meokigame,Range Ball
17442,Invidious Studios,Range Day VR
17443,miqu studio,Ranger of the jungle
17444,Digigo,Rangi
17445,MadOptimist Games,RapStar Tycoon
17446,Tzilum Productions,Rapid
17447,3D FACTORY,Rapid Fire
17448,Soft Loft Studios,Rapid Racing
17449,Wolfborg Games,Rapid Tap
17450,IzmirRecht,Raptainment
17451,Andrew Stout,Raptor Valley
17452,AVB VR Games,Raptor: Cretaceous Island
17453,Tundra Games Ltd,Rapture - World Conquest
17454,tinyBuild,Rapture Rejects
