ID,Ime,Drzava,Datum_ustanovitve,Opis
196,CI Games,Poland,2002,Also a video game developer. Also known as City Interactive.
197,CRL Group,UK,1982,Published last game in 1989.
198,California Dreams,United States,1987,Publishing label of Logical Design Works. Defunct in 1991.
199,California Pacific Computer Company,United States,1979,Defunct in 1983.
200,Camelot Software Planning,Japan,1990,
201,Camerica,Illinois,1988,
202,Canal+ Multimedia,France,1984,Publishing arm of the Canal+ Group. No longer publishes video games.
203,Candy Soft,Japan,1996,
204,Capcom,Japan,1979,Developer/publisher
205,Capcom Vancouver,Canada,2005,"Founded as Blue Castle Games; acquired by Capcom in 2010; closed on September 18, 2018"
206,Capstone Software,United States,1984,Subsidiary of IntraCorp. Defunct in 1996.
207,Caramel Box,Japan,2002,Division of HOBIBOX. Formerly known as HimeyaSoft.
208,Carbine Studios,United States,2005,Subsidiary of NCSoft
209,Carry Lab,Japan,1981,Defunct.
210,Casady & Greene,United States,1984,Defunct in 2003.
211,Cases Computer Simulations,UK,1982,Published last game in 1994.
212,Cattle Call,Japan,1998,Formed by former employees of Data East
213,Cauldron,Slovakia,1996,Their assets were acquired by Bohemia Interactive[8]
214,Cave,Japan,1994,
215,Cavia,Japan,2000,
216,Centuri,United States,1969,Known as Allied Leisure until 1980. Defunct in 1985.
217,Certain Affinity,United States,2006,Co-developed the Halo series
218,Chair Entertainment,United States,2005,Subsidiary of Epic Games
219,ChessBase,Germany,1986,
220,Chunsoft,Japan,1984,Merged with Spike to become Spike Chunsoft in 2012
221,Cinematronics,United States,1975,Acquired by Tradewest in 1987 and renamed to Leland Corporation.
222,Cinemaware,United States,1985,Defunct in 1991. Reestablished as Cinemaware Inc. in 2000.
223,Cinemax,Czech Republic,1998,
224,Cing,Japan,1999,
225,Circus,Japan,2000,
226,Clap Hanz,Japan,1998,
227,Climax Entertainment,Japan,1990,
228,Climax Studios,United Kingdom,1988,
229,Clover Studio,Japan,2004,Subsidiary of Capcom; became defunct in 2007.
230,Club Kidsoft,United States,1992,Defunct.
231,Coded Illusions,Netherlands,2005,
232,Codemasters,United Kingdom,1985,Former subsidiary of Reliance Entertainment; developer/publisher
233,Coffee Stain Studios,Sweden,2010,Acquired by THQ Nordic AB (latterly Embracer Group) in 2018
234,Cohort Studios,United Kingdom,2006,
235,Coktel Vision,France,1985,Former publisher
236,Coleco,United States,1932,"Also a video game console (ColecoVision and Telstar) and video game developer. Revived in 2005, after being defunct since 1988."
237,Color Dreams,United States,1988,Also a video game developer.
238,Colossal Order,Finland,2009,Developer for Paradox Interactive
239,CommaVid,United States,1981,Defunct in 1983.
240,Commercial Data Systems,Canada,1982,Exited the video game industry in 1990.
241,Commodore,United States,1954,Defunct in 1994.
242,Compile,Japan,1982,Defunct in 2003.
243,Compile Heart,Japan,2006,Developer/publisher; subsidiary of Idea Factory
244,CompuServe,United States,1969,Defunct in 2009.
245,Compulsion Games,Canada,2009,Acquired by Microsoft Studios in 2018
246,Computer and Video Games,UK,1981,"Label of Future Publishing. Also known C&VG, CVG, or C+VG. Defunct in 2004."
247,Conspiracy Entertainment,United States,1997,Also a video game developer.
248,Core Design,United Kingdom,1988,Subsidiary of Eidos Interactive; closed down in 2006
249,Cosmi Corporation,United States,1982,
250,Crafts & Meister,Japan,2004,
251,Crave Entertainment,United States,1997,
